time,mz,charge,intensity,RT_length,points,scans,peaks,Tmz,Tintensity,Tmass,Tintensity10,Pintensity,rt_start,rt_end,Ttime,sample,fraction,status,group,mz_error,score,adj_score
17.0,344.39211,5,936120.0,0.215,30,15,3,344.39211,19.836334,344.39,5.971332,8e-06,16.8925,17.1075,17.407393,A2,F1,use,344.37_344.4_1,4e-05,0.993625,1.19235
17.0,344.39215,5,1212100.0,0.112,8,3,3,344.39215,20.209077,344.39,6.083538,1.2e-05,16.944,17.056,17.482967,A1,F1,use,344.37_344.4_1,4e-05,0.993625,1.19235
18.3,344.39235,5,1579800.0,0.178333,18,8,3,344.39235,20.59131,344.39,6.198602,1.6e-05,18.210833,18.389167,18.504357,A3,F1,use,344.37_344.4_1,0.0002,0.986887,1.184265
5.86,345.97791,5,648850.0,0.107833,25,18,2,345.97791,19.307525,345.98,5.812144,6e-06,5.806083,5.913917,5.673962,A3,F1,use,345.96_345.99_1,0.00153,0.655985,0.981447
3.76,345.97638,5,290100.0,0.050667,10,8,2,345.97638,18.146191,345.98,5.462548,3e-06,3.734667,3.785333,3.866821,A1,F1,use,345.96_345.99_1,0.00148,0.708552,0.850263
5.95,345.97786,5,291050.0,0.0885,20,14,2,345.97786,18.150907,345.98,5.463968,3e-06,5.90575,5.99425,5.766434,A3,F1,use,345.96_345.99_2,0.00143,0.971324,1.296786
10.1,345.97643,5,336820.0,0.037,7,5,2,345.97643,18.361618,345.98,5.527398,3e-06,10.0815,10.1185,6.166642,A2,F1,use,345.96_345.99_2,0.00143,0.971324,1.165589
16.8,346.60255,5,3137600.0,0.26,48,19,3,346.60255,21.58123,346.6,6.496598,2.7e-05,16.67,16.93,17.201948,A2,F1,use,346.58_346.61_0,2e-05,0.986688,1.184026
18.1,346.60257,5,3692300.0,0.278333,35,20,2,346.60257,21.816088,346.6,6.567297,3.7e-05,17.960833,18.239167,18.298862,A3,F1,use,346.58_346.61_0,2e-05,0.986688,1.184026
9.11,346.97254,5,68682.0,0.023,5,3,2,346.97254,16.067644,346.97,4.836843,7.021936e-07,9.0985,9.1215,9.368813,A1,F1,use,346.95_346.98_1,0.00093,0.976502,1.171803
9.5,346.97347,5,80879.0,0.029,6,4,2,346.97347,16.303478,346.97,4.907836,8.054657e-07,9.4855,9.5145,9.382556,A3,F1,use,346.95_346.98_1,0.00093,0.976502,1.171803
15.9,349.99147,5,5369200.0,0.346667,99,31,5,349.99147,22.356276,349.99,6.72991,4.7e-05,15.726667,16.073333,16.277446,A2,F1,use,349.97_350.0_1,0.0001,0.993236,1.191883
15.7,349.99137,5,3534700.0,0.416667,126,45,4,349.99137,21.753156,349.99,6.548353,3.6e-05,15.491667,15.908333,16.146034,A1,F1,use,349.97_350.0_1,0.0001,0.993236,1.191883
