mz,mostAbundantMz,charge,rtStart,rtApex,rtEnd,fwhm,nIsotopes,nScans,averagineCorr,mass,massCalib,intensityApex,intensitySum,Tmz,intensity,rt_start,time,rt_end,Tintensity,Tintensity10,Pintensity,Tmass,Ttime,sample,fraction,status,group,mz_error,score,adj_score
321.043025,321.043025,5,10.378073,10.383528,10.411315,0.001833,2,6,0.950024,1600.174842,1600.174381,9097.461914,57748.28857,321.043025,57748.28857,10.378073,10.383528,10.411315,15.817491,4.761539,2.559648e-07,321.04,6.867585,A3,F1,use,321.02_321.05_0,0.000479,0.762223,0.914668
321.984224,321.984224,5,16.459315,16.56919,16.639201,0.073392,2,17,0.996052,1604.889923,1604.889623,19074.98535,410514.5635,321.984224,410514.5635,16.459315,16.56919,16.639201,18.647074,5.613329,2e-06,321.98,16.801784,A3,F1,use,321.96_321.99_0,8.5e-05,0.986947,1.184337
321.984308,321.984308,5,15.430746,15.528276,15.603706,0.125639,2,12,0.956842,1604.891263,1604.891138,49246.48242,598224.3633,321.984308,598224.3633,15.430746,15.528276,15.603706,19.190327,5.776864,2e-06,321.98,15.909224,A2,F1,use,321.96_321.99_0,8.5e-05,0.986947,1.184337
322.917099,322.917099,5,3.43874,3.456797,3.475292,0.013609,2,5,0.953289,1609.543839,1609.543653,30946.04883,110351.0005,322.917099,110351.0005,3.43874,3.456797,3.475292,16.75174,5.042776,3.243233e-07,322.92,3.657023,A2,F1,use,322.91_322.94_1,8.9e-05,0.899671,1.451408
322.918002,322.918002,5,1.546474,1.561771,1.584541,0.056155,2,7,0.743646,1609.542189,1609.542494,32342.02051,212554.0435,322.918002,212554.0435,1.546474,1.561771,1.584541,17.69747,5.327469,9.313815e-07,322.92,1.608181,A1,F1,use,322.91_322.94_1,0.000813,0.452021,0.725841
322.917189,322.917189,5,4.603576,4.630488,4.671008,0.027795,2,12,0.733172,1609.541014,1609.54066,27136.83594,215858.1875,322.917189,215858.1875,4.603576,4.630488,4.671008,17.719724,5.334169,9.567745e-07,322.92,4.343614,A3,F1,use,322.91_322.94_1,0.000485,0.046609,0.244318
322.917142,322.917142,5,4.022219,4.041084,4.060274,0.035919,2,7,0.794715,1609.542696,1609.542526,31137.42383,174333.3223,322.917142,174333.3223,4.022219,4.041084,4.060274,17.411489,5.24138,5.123683e-07,322.92,7.250563,A2,F1,use,322.91_322.94_2,0.000184,0.941937,1.514788
322.917326,322.917326,5,6.68877,6.707508,6.727354,0.030254,2,7,0.800679,1609.541761,1609.541366,25448.32129,133395.2905,322.917326,133395.2905,6.68877,6.707508,6.727354,17.025348,5.12514,5.912642e-07,322.92,7.133424,A3,F1,use,322.91_322.94_2,0.000184,0.941937,1.139646
322.917673,322.917673,5,0.264036,0.301881,0.342986,0.039857,2,13,0.780488,1609.542535,1609.542417,68614.91211,728444.2163,322.917673,728444.2163,0.264036,0.301881,0.342986,19.474459,5.862396,2e-06,322.92,0.270324,A2,F1,use,322.91_322.94_3,0.000106,0.917078,1.468816
322.91778,322.91778,5,0.232471,0.290355,0.329222,0.052506,2,16,0.766927,1609.543199,1609.543397,95378.28906,933470.1636,322.91778,933470.1636,0.232471,0.290355,0.329222,19.832244,5.9701,4e-06,322.92,0.298984,A1,F1,use,322.91_322.94_3,0.000106,0.917078,1.190898
324.420907,324.420907,5,40.932266,41.009506,41.143073,0.297031,4,7,0.989771,1617.068201,1617.068258,880676.8438,6772247.305,324.420907,6772247.305,40.932266,41.009506,41.143073,22.691203,6.830733,3e-05,324.42,42.228154,A1,F1,use,324.41_324.44_1,0.000314,0.978048,1.359966
324.420799,324.420799,5,41.574193,41.682499,41.770071,0.137396,3,7,0.973702,1617.067963,1617.067931,1262460.719,7733098.402,324.420799,7733098.402,41.574193,41.682499,41.770071,22.882615,6.888354,2.3e-05,324.42,42.772001,A2,F1,use,324.41_324.44_1,0.000108,0.943882,1.318967
324.420593,324.420593,5,40.804542,41.018076,41.108031,0.483647,3,13,0.955338,1617.066583,1617.066521,672300.9063,7313677.797,324.420593,7313677.797,40.804542,41.018076,41.108031,22.802166,6.864136,3.2e-05,324.42,41.956777,A3,F1,use,324.41_324.44_1,0.00025,0.735432,0.943744
324.420343,324.420343,5,39.049501,39.186372,39.256673,0.289985,3,10,0.970157,1617.066076,1617.066084,1197630.0,13625855.77,324.420343,13625855.77,39.049501,39.186372,39.256673,23.699844,7.134364,6e-05,324.42,40.350844,A1,F1,use,324.41_324.44_2,0.000174,0.931543,1.313461
324.420517,324.420517,5,39.48798,39.580801,39.849081,0.256516,3,11,0.995287,1617.066474,1617.066467,1051508.688,15278760.94,324.420517,15278760.94,39.48798,39.580801,39.849081,23.865024,7.184088,4.5e-05,324.42,40.613365,A2,F1,use,324.41_324.44_2,0.000174,0.931543,1.306628
326.964396,326.964396,5,0.428448,0.460558,0.508093,0.028154,2,11,0.935393,1629.780919,1629.780778,51084.41211,392449.5283,326.964396,392449.5283,0.428448,0.460558,0.508093,18.582148,5.593784,1e-06,326.96,0.4333,A2,F1,use,326.94_326.97_0,0.000462,0.980891,1.17707
326.964858,326.964858,5,0.400894,0.440934,0.486422,0.043831,2,13,0.914904,1629.781337,1629.781575,39531.32031,562244.2139,326.964858,562244.2139,0.400894,0.440934,0.486422,19.100837,5.749925,2e-06,326.96,0.454037,A1,F1,use,326.94_326.97_0,0.000462,0.980891,1.17707
331.953694,331.953694,5,7.713624,7.724493,7.746391,0.015304,2,6,0.969241,1654.73096,1654.731314,12780.33105,121620.3931,331.953694,121620.3931,7.713624,7.724493,7.746391,16.892026,5.085006,5.329232e-07,331.95,7.954036,A1,F1,use,331.93_331.96_1,2.9e-05,0.978209,1.370491
331.953724,331.953724,5,7.531841,7.637648,7.708523,0.285695,2,26,0.890061,1654.731793,1654.731678,47469.20313,832721.729,331.953724,832721.729,7.531841,7.637648,7.708523,19.667475,5.9205,2e-06,331.95,7.804827,A2,F1,use,331.93_331.96_1,0.000129,0.982036,1.178443
331.953595,331.953595,5,7.746391,7.817254,7.87034,0.073093,2,21,0.898408,1654.731168,1654.731426,19698.44336,450510.5581,331.953595,450510.5581,7.746391,7.817254,7.87034,18.781201,5.653705,2e-06,331.95,8.049553,A1,F1,use,331.93_331.96_2,0.000221,0.983199,1.37548
331.953816,331.953816,5,8.037177,8.107173,8.140237,0.057675,2,12,0.972759,1654.732357,1654.731984,19647.34326,205142.6519,331.953816,205142.6519,8.037177,8.107173,8.140237,17.646268,5.312056,9.092787e-07,331.95,8.178911,A3,F1,use,331.93_331.96_2,0.000221,0.983199,1.179839
333.043613,333.043613,5,0.903647,0.929627,0.97347,0.227612,2,11,0.989909,1660.187186,1660.187051,33720.52344,477548.8027,333.043613,477548.8027,0.903647,0.929627,0.97347,18.865289,5.679018,1e-06,333.04,0.915076,A2,F1,use,333.02_333.05_0,0.000509,0.98109,1.177308
333.044122,333.044122,5,0.873113,0.948059,1.012697,0.078395,2,22,0.859277,1660.190806,1660.191055,30579.59961,510112.2949,333.044122,510112.2949,0.873113,0.948059,1.012697,18.960455,5.707666,2e-06,333.04,0.976232,A1,F1,use,333.02_333.05_0,0.000509,0.98109,1.177308
338.595928,338.595928,5,14.750075,14.773116,14.817509,0.037702,2,7,0.981901,1687.943707,1687.944012,23215.12891,258319.3975,338.595928,258319.3975,14.750075,14.773116,14.817509,17.978796,5.412157,1e-06,338.6,15.212118,A1,F1,use,338.58_338.61_1,4.7e-05,0.947861,1.521359
338.595881,338.595881,5,14.129103,14.192806,14.242797,0.074133,3,12,0.94903,1687.942398,1687.942304,56661.59863,1472257.179,338.595881,1472257.179,14.129103,14.192806,14.242797,20.489598,6.167984,4e-06,338.6,14.537574,A2,F1,use,338.58_338.61_1,4.7e-05,0.947861,1.509331
338.595928,338.595928,5,14.216933,14.27919,14.417614,0.141253,3,28,0.973387,1687.943273,1687.943214,112361.6914,3685781.678,338.595928,3685781.678,14.216933,14.27919,14.417614,21.813539,6.56653,1.1e-05,338.6,14.626298,A2,F1,use,338.58_338.61_2,9.8e-05,0.912067,1.659551
338.596026,338.596026,5,14.674098,14.889007,15.011779,0.200736,4,42,0.944574,1687.94353,1687.943499,243999.8906,11513039.99,338.596026,11513039.99,14.674098,14.889007,15.011779,23.456765,7.06119,5.1e-05,338.6,15.139397,A3,F1,use,338.58_338.61_2,9.8e-05,0.912067,1.259455
338.595948,338.595948,5,14.357038,14.407483,14.537819,0.135432,3,23,0.939346,1687.943342,1687.943274,98525.69141,2918837.951,338.595948,2918837.951,14.357038,14.407483,14.537819,21.476963,6.46521,9e-06,338.6,14.758067,A2,F1,use,338.58_338.61_3,8.2e-05,0.947421,1.892816
338.595866,338.595866,5,14.131543,14.301575,14.506101,0.196354,5,43,0.985548,1687.943026,1687.94302,310077.5938,16242372.48,338.595866,16242372.48,14.131543,14.301575,14.506101,23.953259,7.210649,7.1e-05,338.6,14.726564,A1,F1,use,338.58_338.61_3,8.2e-05,0.947421,1.52083
338.595827,338.595827,5,14.479548,14.49915,14.587969,0.067648,2,13,0.92024,1687.942789,1687.942977,112417.0625,1231234.244,338.595827,1231234.244,14.479548,14.49915,14.587969,20.231674,6.090341,5e-06,338.6,14.93001,A1,F1,use,338.58_338.61_4,0.000204,0.93007,1.693052
338.596031,338.596031,5,14.52278,14.558535,14.665973,0.113269,2,16,0.991356,1687.943284,1687.943188,83370.10547,1425387.589,338.596031,1425387.589,14.52278,14.558535,14.665973,20.442923,6.153933,4e-06,338.6,14.913212,A2,F1,use,338.58_338.61_4,0.000204,0.93007,1.685893
