charge	Scan_Num	RT	RT_Calibrated	RTbegin	RTend	MaxInt	MaxInt_calibrated	SA	SACalibrated	goodness_fit	S/N	m/z
4	7	18.541622	18.517887	18.460925	18.627065	9303661.642	1652583.341	1028713.912	183370.5357	0.983513	113.177426	486.742218
4	3	18.563859	18.563859	18.563859	18.627065	1950943.975	323057.4556	138402.6782	22918.14508	0.934965	30.676226	439.743683
4	3	18.627065	18.627065	18.563859	18.627065	1584969.497	262455.6212	97333.07467	16117.41591	1	12.797057	588.020447
4	3	18.659956	18.659956	18.60129	18.659956	677773.6304	114257.1865	43442.64693	7323.440144	1	12.720079	479.718109
4	7	18.599534	18.599534	18.514656	18.700327	8845534.667	1490323.76	924012.5674	157902.7926	0.994128	127.702779	465.962311
4	7	18.631363	18.631363	18.514656	18.700327	5424058.274	924281.4265	664121.408	114316.1221	0.976262	86.59751	468.24408
4	4	18.659956	18.659956	18.60129	18.700327	1127866.239	190132.542	106149.0639	17894.31286	0.825647	16.154661	460.485992
4	6	18.640087	18.640087	18.563859	18.73977	2595939.208	444558.0182	277818.5567	50480.2634	0.953198	81.076091	334.135101
4	4	18.700327	18.700327	18.627065	18.73977	4329010.26	735725.741	348843.9253	59286.86698	0.990532	63.650576	432.728027
4	3	18.700327	18.700327	18.700327	18.778518	6820209.727	1383129.127	462820.7896	93859.41788	0.917017	98.331341	457.734863
4	12	18.571203	18.571203	18.485831	18.827319	6693990.819	1108430.148	943443.753	183049.8288	1	175.162238	437.231842
4	4	18.827319	18.827319	18.73977	18.827319	8198707.105	1920971.674	481920.6046	112914.8558	0.95724	142.615859	347.670868
4	4	18.862359	18.862359	18.778518	18.862359	6641148.778	1806623.716	423641.5667	115245.2575	0.979342	77.099289	403.18103
4	3	18.900366	18.900366	18.818917	18.900366	8281782.893	3104116.527	444646.7571	166659.2043	0.915524	40.920776	464.245178
4	3	19.608704	19.608704	19.567858	19.638153	6949377.534	17116693.43	556177.779	1369896.007	0.930217	13.533041	407.434875
4	66	19.376004	19.376004	19.233751	19.904371	1329123710	4048951646	549226859.9	1317405162	0.955612	2520.346417	407.686493
4	66	19.376004	19.376004	19.233751	19.904371	1329123710	4048951646	549226859.9	1317405162	0.955612	2520.346417	407.686493
4	3	20.469935	20.469935	20.445327	20.469935	15553305.19	17514983.32	352601.0589	397073.2646	0.846531	49.449285	442.967133
4	5	20.666291	20.666291	20.617071	20.688783	60588444.89	56730753.64	2924911.851	2738681.509	0.961621	105.827743	634.281921
4	4	20.666291	20.666291	20.637536	20.688783	19432092.6	16495834.12	818265.7706	694622.8952	0.978939	50.938299	493.987946
4	5	20.666291	20.666291	20.637536	20.721753	18227929.25	15473624.15	1193479.368	1013140.38	0.957163	89.319577	401.202759
4	3	20.688783	20.688783	20.688783	20.758492	2146634.149	1467282.398	172884.618	118171.3042	0.980864	7.389455	540.258789
4	6	20.694983	20.681092	20.657939	20.796855	66245823.2	46370005.31	5739967.199	3522171.839	0.982912	184.345005	501.490692
4	10	20.690787	20.681105	20.637536	20.879585	671602218.8	476948590.4	59346870.97	36398621.46	0.974289	1596.16897	540.512878
4	6	20.82981	20.813352	20.758492	20.923072	26535769.83	9371669.86	2687845.782	1015196.033	0.966782	161.2067	468.244781
4	3	20.914691	20.914691	20.879585	20.923072	1631283.035	633262.0476	63354.12948	24593.99436	0.94668	7.871981	467.739044
4	6	20.895044	20.952711	20.833259	20.95683	17757847.98	7098711.11	1686794.662	717698.7716	0.990362	131.735857	405.697052
4	5	20.923072	20.923072	20.841231	20.95683	36932576.44	12128924.94	2749742.851	903035.419	0.948244	154.318307	494.976196
4	4	20.914691	20.914691	20.879585	20.95683	9646862.694	3744900.114	619399.3579	240450.0613	0.903954	68.374166	415.72583
4	4	20.990332	20.990332	20.914691	20.990332	7368515.246	3214884.488	511563.343	223195.1758	0.820404	47.42158	421.693665
4	7	20.621727	20.618393	20.605056	20.721753	26056277.26	24058500.11	2046457.883	1642326.478	0.92811	52.851878	543.72345
4	3	21.320694	21.320694	21.304852	21.32905	5367327.863	3068798.092	131742.2422	75324.32373	0.997167	10.914544	623.283508
4	9	21.334199	21.334199	21.249161	21.376718	11965445.25	8857500.124	1309294.552	884062.0832	0.983799	29.963566	543.723022
4	6	21.338389	21.338389	21.304852	21.376718	13976756.58	10374680.24	810340.0412	584127.6446	0.904754	28.203598	582.792419
4	4	21.347393	21.347393	21.289483	21.38441	2971479.311	2028313.523	243310.5804	166082.3074	0.983328	4.695841	613.542908
4	17	21.329058	21.332303	21.134381	21.410174	290836337.4	210261116	36507914.83	25675795.88	0.976697	600.467673	613.797974
4	12	21.372604	21.375288	21.249161	21.410174	113724856.1	100917948.3	10503850.94	8537782.068	0.991592	551.586391	361.920166
4	3	21.597028	21.597028	21.567176	21.597028	15648343.06	20589925.08	477677.787	628523.404	0.897479	26.116692	494.78479
4	3	21.619107	21.619107	21.597028	21.642201	4423060.409	5066506.768	199223.8303	228205.9912	0.928376	8.191873	433.208923
4	8	21.683767	21.638426	21.567176	21.696721	27399447.79	28448847.45	2887026.289	3094062.505	0.948528	84.690035	433.463104
4	4	21.795362	21.795362	21.76465	21.841162	8058922.945	6732600.622	666382.034	556710.137	0.99122	53.121387	540.760132
4	9	22.095501	22.120375	21.937965	22.124521	76473331.91	89273583.34	7461006.947	6367330.821	0.972941	147.371508	490.710907
4	3	22.093678	22.093678	22.063066	22.124521	76532004.91	58555474.3	3901556.414	2985123.5	0.983299	222.810179	540.759583
4	32	22.544995	22.619499	22.376552	22.894839	348233448.7	464845911.4	107230069.8	155538079.4	0.938011	837.204324	445.686005
4	32	22.544995	22.619499	22.376552	22.894839	348233448.7	464845911.4	107230069.8	155538079.4	0.938011	837.204324	445.686005
